"scientificName" "plot_id" "year" "occurrenceStatus" "decimalLatitude" "decimalLongitude"
"Vaccinium vitis-idaea" 9 1998 "PRESENT" 57.116344 -3.829717
"Dicranum scoparium" 9 1998 "PRESENT" 57.116344 -3.829717
"Hylocomium splendens" 9 1998 "PRESENT" 57.116344 -3.829717
"Pleurozium schreberi" 9 1998 "PRESENT" 57.116344 -3.829717
"Rhytidiadelphus loreus" 9 1998 "PRESENT" 57.116344 -3.829717
"Arctostaphylos uva-ursi" 10 1998 "PRESENT" 57.116344 -3.829717
"Calluna vulgaris" 10 1998 "PRESENT" 57.116344 -3.829717
"Erica cinerea" 10 1998 "PRESENT" 57.116344 -3.829717
"Erica tetralix" 10 1998 "PRESENT" 57.116344 -3.829717
"Vaccinium myrtillus" 10 1998 "PRESENT" 57.116344 -3.829717
"Pleurozium schreberi" 10 1998 "PRESENT" 57.116344 -3.829717
"Cladonia arbuscula" 10 1998 "PRESENT" 57.116344 -3.829717
"Cladonia portentosa" 10 1998 "PRESENT" 57.116344 -3.829717
"Cladonia rangiferina" 10 1998 "PRESENT" 57.116344 -3.829717
"Arctostaphylos uva-ursi" 11 1998 "PRESENT" 57.116344 -3.829717
"Calluna vulgaris" 11 1998 "PRESENT" 57.116344 -3.829717
"Deschampsia flexuosa" 11 1998 "PRESENT" 57.116344 -3.829717
"Empetrum nigrum subsp. nigrum" 11 1998 "PRESENT" 57.116344 -3.829717
"Erica cinerea" 11 1998 "PRESENT" 57.116344 -3.829717
"Erica tetralix" 11 1998 "PRESENT" 57.116344 -3.829717
"Vaccinium myrtillus" 11 1998 "PRESENT" 57.116344 -3.829717
"Pleurozium schreberi" 11 1998 "PRESENT" 57.116344 -3.829717
"Cladonia arbuscula" 11 1998 "PRESENT" 57.116344 -3.829717
"Cladonia portentosa" 11 1998 "PRESENT" 57.116344 -3.829717
"Cladonia rangiferina" 11 1998 "PRESENT" 57.116344 -3.829717
"Cladonia uncialis" 11 1998 "PRESENT" 57.116344 -3.829717
"Arctostaphylos uva-ursi" 12 1998 "PRESENT" 57.116344 -3.829717
"Calluna vulgaris" 12 1998 "PRESENT" 57.116344 -3.829717
"Trichophorum cespitosum" 12 1998 "PRESENT" 57.116344 -3.829717
"Cetraria islandica" 12 1998 "PRESENT" 57.116344 -3.829717
"Cladonia arbuscula" 12 1998 "PRESENT" 57.116344 -3.829717
"Cladonia portentosa" 12 1998 "PRESENT" 57.116344 -3.829717
"Cladonia uncialis" 12 1998 "PRESENT" 57.116344 -3.829717
"Sphaerophorus globosus" 12 1998 "PRESENT" 57.116344 -3.829717
"Hypnum" 12 1998 "PRESENT" 57.116344 -3.829717
"Calluna vulgaris" 13 1998 "PRESENT" 57.116344 -3.829717
"Empetrum nigrum subsp. nigrum" 13 1998 "PRESENT" 57.116344 -3.829717
"Erica cinerea" 13 1998 "PRESENT" 57.116344 -3.829717
"Erica tetralix" 13 1998 "PRESENT" 57.116344 -3.829717
"Vaccinium myrtillus" 13 1998 "PRESENT" 57.116344 -3.829717
"Vaccinium vitis-idaea" 13 1998 "PRESENT" 57.116344 -3.829717
"Dicranum scoparium" 13 1998 "PRESENT" 57.116344 -3.829717
"Hylocomium splendens" 13 1998 "PRESENT" 57.116344 -3.829717
"Pleurozium schreberi" 13 1998 "PRESENT" 57.116344 -3.829717
"Rhytidiadelphus loreus" 13 1998 "PRESENT" 57.116344 -3.829717
"Sphagnum capillifolium" 13 1998 "PRESENT" 57.116344 -3.829717
"Cladonia portentosa" 13 1998 "PRESENT" 57.116344 -3.829717
"Pinus sylvestris" 13 1998 "PRESENT" 57.116344 -3.829717
"Hypnum" 13 1998 "PRESENT" 57.116344 -3.829717
"Agrostis canina" 14 1998 "PRESENT" 57.116344 -3.829717
"Anthoxanthum odoratum" 14 1998 "PRESENT" 57.116344 -3.829717
"Deschampsia flexuosa" 14 1998 "PRESENT" 57.116344 -3.829717
"Digitalis purpurea" 14 1998 "PRESENT" 57.116344 -3.829717
"Festuca ovina" 14 1998 "PRESENT" 57.116344 -3.829717
"Galium saxatile" 14 1998 "PRESENT" 57.116344 -3.829717
"Holcus lanatus" 14 1998 "PRESENT" 57.116344 -3.829717
"Luzula campestris" 14 1998 "PRESENT" 57.116344 -3.829717
"Oxalis acetosella" 14 1998 "PRESENT" 57.116344 -3.829717
"Ranunculus repens" 14 1998 "PRESENT" 57.116344 -3.829717
"Rumex acetosa" 14 1998 "PRESENT" 57.116344 -3.829717
"Gymnocarpium dryopteris" 14 1998 "PRESENT" 57.116344 -3.829717
"Vaccinium myrtillus" 14 1998 "PRESENT" 57.116344 -3.829717
"Hylocomium splendens" 14 1998 "PRESENT" 57.116344 -3.829717
"Mnium hornum" 14 1998 "PRESENT" 57.116344 -3.829717
"Pleurozium schreberi" 14 1998 "PRESENT" 57.116344 -3.829717
"Ptilium crista-castrensis" 14 1998 "PRESENT" 57.116344 -3.829717
"Sphagnum denticulatum" 14 1998 "PRESENT" 57.116344 -3.829717
"Plagiothecium" 14 1998 "PRESENT" 57.116344 -3.829717
"Polytrichum" 14 1998 "PRESENT" 57.116344 -3.829717
"Calluna vulgaris" 15 1998 "PRESENT" 57.116344 -3.829717
"Deschampsia flexuosa" 15 1998 "PRESENT" 57.116344 -3.829717
"Erica cinerea" 15 1998 "PRESENT" 57.116344 -3.829717
"Erica tetralix" 15 1998 "PRESENT" 57.116344 -3.829717
"Molinia caerulea" 15 1998 "PRESENT" 57.116344 -3.829717
"Trichophorum cespitosum" 15 1998 "PRESENT" 57.116344 -3.829717
"Vaccinium myrtillus" 15 1998 "PRESENT" 57.116344 -3.829717
"Hylocomium splendens" 15 1998 "PRESENT" 57.116344 -3.829717
"Pleurozium schreberi" 15 1998 "PRESENT" 57.116344 -3.829717
"Rhytidiadelphus loreus" 15 1998 "PRESENT" 57.116344 -3.829717
"Cladonia arbuscula" 15 1998 "PRESENT" 57.116344 -3.829717
"Cladonia portentosa" 15 1998 "PRESENT" 57.116344 -3.829717
"Hypnum" 15 1998 "PRESENT" 57.116344 -3.829717
"Lophozia" 15 1998 "PRESENT" 57.116344 -3.829717
"Polytrichum" 15 1998 "PRESENT" 57.116344 -3.829717
"Arctostaphylos uva-ursi" 16 1998 "PRESENT" 57.116344 -3.829717
"Calluna vulgaris" 16 1998 "PRESENT" 57.116344 -3.829717
"Erica cinerea" 16 1998 "PRESENT" 57.116344 -3.829717
"Erica tetralix" 16 1998 "PRESENT" 57.116344 -3.829717
"Trichophorum cespitosum" 16 1998 "PRESENT" 57.116344 -3.829717
"Pleurozium schreberi" 16 1998 "PRESENT" 57.116344 -3.829717
"Cladonia arbuscula" 16 1998 "PRESENT" 57.116344 -3.829717
"Cladonia portentosa" 16 1998 "PRESENT" 57.116344 -3.829717
"Cladonia uncialis" 16 1998 "PRESENT" 57.116344 -3.829717
"Hypnum" 16 1998 "PRESENT" 57.116344 -3.829717
"Arctostaphylos uva-ursi" 17 1998 "PRESENT" 57.116344 -3.829717
"Calluna vulgaris" 17 1998 "PRESENT" 57.116344 -3.829717
"Erica cinerea" 17 1998 "PRESENT" 57.116344 -3.829717
"Erica tetralix" 17 1998 "PRESENT" 57.116344 -3.829717
"Pleurozium schreberi" 17 1998 "PRESENT" 57.116344 -3.829717
"Cladonia arbuscula" 17 1998 "PRESENT" 57.116344 -3.829717
"Cladonia portentosa" 17 1998 "PRESENT" 57.116344 -3.829717
"Cladonia rangiferina" 17 1998 "PRESENT" 57.116344 -3.829717
"Hypnum" 17 1998 "PRESENT" 57.116344 -3.829717
"Arctostaphylos uva-ursi" 18 1998 "PRESENT" 57.116344 -3.829717
"Calluna vulgaris" 18 1998 "PRESENT" 57.116344 -3.829717
"Racomitrium lanuginosum" 18 1998 "PRESENT" 57.116344 -3.829717
"Sphagnum compactum" 18 1998 "PRESENT" 57.116344 -3.829717
"Sphagnum tenellum" 18 1998 "PRESENT" 57.116344 -3.829717
"Cetraria islandica" 18 1998 "PRESENT" 57.116344 -3.829717
"Cladonia arbuscula" 18 1998 "PRESENT" 57.116344 -3.829717
"Cladonia furcata" 18 1998 "PRESENT" 57.116344 -3.829717
"Cladonia portentosa" 18 1998 "PRESENT" 57.116344 -3.829717
"Cladonia pyxidata" 18 1998 "PRESENT" 57.116344 -3.829717
"Cladonia rangiferina" 18 1998 "PRESENT" 57.116344 -3.829717
"Cladonia uncialis" 18 1998 "PRESENT" 57.116344 -3.829717
"Sphaerophorus globosus" 18 1998 "PRESENT" 57.116344 -3.829717
"Arctostaphylos uva-ursi" 19 1998 "PRESENT" 57.116344 -3.829717
"Calluna vulgaris" 19 1998 "PRESENT" 57.116344 -3.829717
"Empetrum nigrum subsp. nigrum" 19 1998 "PRESENT" 57.116344 -3.829717
"Huperzia selago" 19 1998 "PRESENT" 57.116344 -3.829717
"Racomitrium lanuginosum" 19 1998 "PRESENT" 57.116344 -3.829717
"Ptilidium ciliare" 19 1998 "PRESENT" 57.116344 -3.829717
"Cetraria islandica" 19 1998 "PRESENT" 57.116344 -3.829717
"Cetraria nivalis" 19 1998 "PRESENT" 57.116344 -3.829717
"Cladonia portentosa" 19 1998 "PRESENT" 57.116344 -3.829717
"Cladonia pyxidata" 19 1998 "PRESENT" 57.116344 -3.829717
"Cladonia rangiferina" 19 1998 "PRESENT" 57.116344 -3.829717
"Sphaerophorus globosus" 19 1998 "PRESENT" 57.116344 -3.829717
"Hypnum" 19 1998 "PRESENT" 57.116344 -3.829717
"Calluna vulgaris" 20 1998 "PRESENT" 57.116344 -3.829717
"Deschampsia flexuosa" 20 1998 "PRESENT" 57.116344 -3.829717
"Vaccinium myrtillus" 20 1998 "PRESENT" 57.116344 -3.829717
"Vaccinium vitis-idaea" 20 1998 "PRESENT" 57.116344 -3.829717
"Dicranum majus" 20 1998 "PRESENT" 57.116344 -3.829717
"Dicranum scoparium" 20 1998 "PRESENT" 57.116344 -3.829717
"Hylocomium splendens" 20 1998 "PRESENT" 57.116344 -3.829717
"Rhytidiadelphus loreus" 20 1998 "PRESENT" 57.116344 -3.829717
"Polytrichum" 20 1998 "PRESENT" 57.116344 -3.829717
"Calluna vulgaris" 21 1998 "PRESENT" 57.116344 -3.829717
"Erica tetralix" 21 1998 "PRESENT" 57.116344 -3.829717
"Eriophorum angustifolium" 21 1998 "PRESENT" 57.116344 -3.829717
"Lycopodium clavatum" 21 1998 "PRESENT" 57.116344 -3.829717
"Narthecium ossifragum" 21 1998 "PRESENT" 57.116344 -3.829717
"Trichophorum cespitosum" 21 1998 "PRESENT" 57.116344 -3.829717
"Racomitrium lanuginosum" 21 1998 "PRESENT" 57.116344 -3.829717
"Sphagnum capillifolium" 21 1998 "PRESENT" 57.116344 -3.829717
"Pleurozia purpurea" 21 1998 "PRESENT" 57.116344 -3.829717
