Field name	Latin name	BRC concept	Name in BRC database
891	Myosotis sylvatica	Vas_1325	Myosotis sylvatica
893	Myrica gale	Vas_1328	Myrica gale
2211	Nardia compressa	Bry_856	Nardia compressa
2213	Nardia scalaris	Bry_858	Nardia scalaris
900	Nardus stricta	Vas_1344	Nardus stricta
901	Narthecium ossifragum	Vas_1345	Narthecium ossifragum
1118	Nasturtium officinale	Vas_1347	Rorippa nasturtium-aquaticum
1812	Neckera complanata	Bry_401	Neckera complanata
1813	Neckera crispa	Bry_402	Neckera crispa
905	Nuphar pumila	Vas_1357	Nuphar pumila
3029	Ochrolechia frigida	Fun_8716	Ochrolechia frigida
4351	Ochrolechia pallescens	Fun_8718	Ochrolechia pallescens
907	Odontites vernus	Vas_1361	Odontites vernus
2218	Odontoschisma sphagni	Bry_863	Odontoschisma sphagni
909	Oenanthe crocata	Vas_1363	Oenanthe crocata
1816	Oligotrichum hercynicum	Bry_407	Oligotrichum hercynicum
5184	Omphalina hudsoniana	Fun_9744	Lichenomphalia hudsoniana
3031	Omphalina sp	Fun_4805	Omphalina
914	Ononis repens	Vas_1377	Ononis repens
917	Ophioglossum vulgatum	Vas_1381.2	Ophioglossum vulgatum
924	Ornithogalum umbellatum	Vas_9768	Ornithogalum umbellatum
1820	Orthodontium lineare	Bry_411	Orthodontium lineare
931	Osmunda regalis	Vas_1411	Osmunda regalis
932	Oxalis acetosella	Vas_1413	Oxalis acetosella
2915	Parentucellia viscosa	Vas_1434	Parentucellia viscosa
2461	Parmelia laevigata	Fun_8487	Parmelia laevigata
2464	Parmelia omphalodes	Fun_8759	Parmelia omphalodes
2471	Parmelia saxatilis	Fun_8760	Parmelia saxatilis
2697	Parmelia sp	Fun_8757	Parmelia
944	Parnassia palustris	Vas_1437	Parnassia palustris
945	Pastinaca sativa	Vas_1440	Pastinaca sativa
946	Pedicularis palustris	Vas_1441	Pedicularis palustris
947	Pedicularis sylvatica	Vas_1442	Pedicularis sylvatica
3033	Pellia cf. endiviifolia	Bry_1323	Pellia
3034	Pellia cf. epiphylla	Bry_1323	Pellia
2222	Pellia endiviifolia	Bry_868	Pellia endiviifolia
2223	Pellia epiphylla	Bry_867	Pellia epiphylla
2224	Pellia neesiana	Bry_869	Pellia neesiana
2917	Pellia sp	Bry_1323	Pellia
2485	Peltigera britannica	Fun_8776	Peltigera britannica
2486	Peltigera canina	Fun_8777	Peltigera canina
4366	Peltigera lactucifolia	Fun_8782	Peltigera lactucifolia
3302	Peltigera membranacea	Fun_8786	Peltigera membranacea
2492	Peltigera polydactyla	Fun_8788	Peltigera polydactyla
2494	Peltigera rufescens	Fun_8790	Peltigera rufescens
2918	Peltigera sp	Fun_8775	Peltigera
3775	Pernettya mucronata	Vas_2244	Gaultheria mucronata
955	Phalaris arundinacea	Vas_1454	Phalaris arundinacea
956	Phalaris canariensis	Vas_1455	Phalaris canariensis
1842	Phascum cuspidatum	Bry_434	Phascum cuspidatum
1847	Philonotis fontana	Bry_439	Philonotis fontana
959	Phleum bertolonii	Vas_1461	Phleum bertolonii
960	Phleum pratense	Vas_1463	Phleum pratense
961	Phragmites australis	Vas_1465	Phragmites australis
962	Phyllitis scolopendrium	Vas_1466	Phyllitis scolopendrium
6023	Phytolacca sp	Vas_2991	Phytolacca
2759	Picea abies (c)	Vas_1470	Picea abies
3202	Picea abies (g)	Vas_1470	Picea abies
3201	Picea abies (s)	Vas_1470	Picea abies
3122	Picea sitchensis (c)	Vas_2401	Picea sitchensis
3047	Picea sitchensis (g)	Vas_2401	Picea sitchensis
3203	Picea sp. (c)	Vas_5155	Picea
964	Picris hieracioides	Vas_1472	Picris hieracioides
965	Pilosella officinarum agg	Vas_976	Pilosella officinarum
968	Pimpinella saxifraga	Vas_1476	Pimpinella saxifraga
969	Pinguicula lusitanica	Vas_1480	Pinguicula lusitanica
970	Pinguicula vulgaris	Vas_1481	Pinguicula vulgaris
2920	Pinus nigra (c)	Vas_1482	Pinus nigra
3204	Pinus nigra (s)	Vas_1482	Pinus nigra
4292	Pinus seedling/sp	Vas_4546	Pinus
971	Pinus sylvestris (c)	Vas_1484	Pinus sylvestris
2620	Pinus sylvestris (g)	Vas_1484	Pinus sylvestris
2619	Pinus sylvestris (s)	Vas_1484	Pinus sylvestris
4435	Pinus sylvestris var scoticum	Vas_1484.1	Pinus sylvestris subsp. scotica
5276	Placynthiella icmalea	Fun_8869	Placynthiella icmalea
3129	Placynthiella uliginosa	Fun_8871	Placynthiella uliginosa
2922	Plagiochila asplenioides	Bry_872.2	Plagiochila asplenioides
2226	Plagiochila porelloides	Bry_872.1	Plagiochila porelloides
2230	Plagiochila spinulosa	Bry_874	Plagiochila spinulosa s.l.
1791	Plagiomnium affine	Bry_379	Plagiomnium affine
1793	Plagiomnium cuspidatum	Bry_381	Plagiomnium cuspidatum
1804	Plagiomnium elatum	Bry_392	Plagiomnium elatum
1795	Plagiomnium rostratum	Bry_383	Plagiomnium rostratum
4388	Plagiomnium sp	Bry_1204	Plagiomnium
1807	Plagiomnium undulatum	Bry_395	Plagiomnium undulatum
1858	Plagiothecium denticulatum	Bry_449	Plagiothecium denticulatum
1865	Plagiothecium nemorale	Bry_456	Plagiothecium nemorale
2923	Plagiothecium sp	Bry_1206	Plagiothecium
1867	Plagiothecium succulentum	Bry_458	Plagiothecium succulentum
1868	Plagiothecium undulatum	Bry_459	Plagiothecium undulatum
973	Plantago lanceolata	Vas_1487	Plantago lanceolata
974	Plantago major	Vas_1488	Plantago major
975	Plantago maritima	Vas_1489	Plantago maritima
976	Plantago media	Vas_1490	Plantago media
2330	Platismatia glauca	Fun_9451	Platismatia glauca
1455	Platydictya confervoides	Bry_14	Amblystegium confervoides
1871	Pleurochaete squarrosa	Bry_462	Pleurochaete squarrosa
2237	Pleurozia purpurea	Bry_881	Pleurozia purpurea
1872	Pleurozium schreberi	Bry_463	Pleurozium schreberi
980	Poa angustifolia	Vas_1506.2	Poa angustifolia
981	Poa annua	Vas_1495	Poa annua
982	Poa chaixii	Vas_1498	Poa chaixii
983	Poa compressa	Vas_1499	Poa compressa
986	Poa nemoralis	Vas_1504	Poa nemoralis
987	Poa palustris	Vas_1505	Poa palustris
988	Poa pratensis	Vas_1506.4	Poa pratensis s.str.
2721	Poa sp	Vas_4547	Poa
989	Poa subcaerulea	Vas_1506.5	Poa humilis
990	Poa trivialis	Vas_1507	Poa trivialis
1888	Pogonatum aloides	Bry_479	Pogonatum aloides
1898	Pogonatum urnigerum	Bry_489	Pogonatum urnigerum
2925	Pohlia camptotrachela	Bry_1012	Pohlia camptotrachela
1879	Pohlia carnea	Bry_470	Pohlia melanodon
1884	Pohlia nutans	Bry_475	Pohlia nutans
2924	Pohlia sp	Bry_1213	Pohlia
1887	Pohlia wahlenbergii	Bry_465	Pohlia wahlenbergii
3205	Polygala calcarea	Vas_1512	Polygala calcarea
994	Polygala serpyllifolia	Vas_1514	Polygala serpyllifolia
4390	Polygala sp	Vas_4548	Polygala
995	Polygala vulgaris	Vas_1515	Polygala vulgaris
2929	Polygonum arenastrum	Vas_1520	Polygonum arenastrum
999	Polygonum aviculare	Vas_1523	Polygonum aviculare
1004	Polygonum hydropiper	Vas_1530	Persicaria hydropiper
1005	Polygonum lapathifolium	Vas_1531	Persicaria lapathifolia
1008	Polygonum persicaria	Vas_1537	Persicaria maculosa
1009	Polygonum polystachyum	Vas_1538	Persicaria wallichii
4286	Polygonum sp	Vas_4549	Polygonum
1012	Polygonum viviparum	Vas_1543	Persicaria vivipara
1014	Polypodium australe	Vas_1544.1	Polypodium cambricum
1015	Polypodium vulgare	Vas_1544.2	Polypodium vulgare
1889	Polytrichum alpestre	Bry_480	Polytrichum strictum
1890	Polytrichum alpinum	Bry_481	Polytrichastrum alpinum
1891	Polytrichum commune	Bry_482	Polytrichum commune
1892	Polytrichum formosum	Bry_483	Polytrichastrum formosum
1894	Polytrichum juniperinum	Bry_485	Polytrichum juniperinum
4236	Polytrichum longisetum	Bry_484	Polytrichastrum longisetum
1897	Polytrichum piliferum	Bry_488	Polytrichum piliferum
2930	Polytrichum sp	Bry_1214	Polytrichum
1020	Populus canescens (c)	Vas_1551	Populus alba x tremula (P. x canescens)
1021	Populus nigra	Vas_4313	Populus nigra s.l.
4391	Populus sp	Vas_4550	Populus
1022	Populus tremula (c)	Vas_1555	Populus tremula
3001	Populus tremula (g)	Vas_1555	Populus tremula
2933	Populus tremula (s)	Vas_1555	Populus tremula
