Field name	Latin name	BRC concept	Name in BRC database
1963	Sphagnum cuspidatum	Bry_556	Sphagnum cuspidatum
1964	Sphagnum fimbriatum	Bry_557	Sphagnum fimbriatum
1966	Sphagnum girgensohnii	Bry_559	Sphagnum girgensohnii
1969	Sphagnum magellanicum	Bry_562	Sphagnum magellanicum
1971	Sphagnum palustre	Bry_566	Sphagnum palustre
1972	Sphagnum papillosum	Bry_567	Sphagnum papillosum
1975	Sphagnum quinquefarium	Bry_570	Sphagnum quinquefarium
1976	Sphagnum recurvum	Bry_571	Sphagnum recurvum s.l.
1978	Sphagnum russowii	Bry_574	Sphagnum russowii
2738	Sphagnum sp	Bry_1243	Sphagnum
1980	Sphagnum squarrosum	Bry_575	Sphagnum squarrosum
1973	Sphagnum subnitens	Bry_568	Sphagnum subnitens
1984	Sphagnum tenellum	Bry_579	Sphagnum tenellum
6011	Splachnum sp.	Bry_1244	Splachnum
2980	Splachnum sphaericum	Bry_583	Splachnum sphaericum
1291	Stachys arvensis	Vas_2001	Stachys arvensis
234	Stachys officinalis	Vas_237	Stachys officinalis
1292	Stachys palustris	Vas_2003	Stachys palustris
1293	Stachys sylvatica	Vas_2005	Stachys sylvatica
1295	Stellaria alsine	Vas_2007	Stellaria uliginosa
1296	Stellaria graminea	Vas_2009	Stellaria graminea
1297	Stellaria holostea	Vas_2010	Stellaria holostea
1298	Stellaria media	Vas_2012	Stellaria media
1302	Stellaria palustris	Vas_2015	Stellaria palustris
2704	Stellaria seedling/sp	Vas_5266	Stellaria
2548	Stereocaulon evolutum	Fun_9076	Stereocaulon evolutum
2557	Stereocaulon vesuvianum	Fun_9087	Stereocaulon vesuvianum
1305	Succisa pratensis	Vas_2021	Succisa pratensis
1313	Tamus communis	Vas_2032	Tamus communis
4060	Taraxacum brachyglossum (ery)	Vas_3815	Taraxacum brachyglossum
4089	Taraxacum fulvum (ery)	Vas_3852	Taraxacum fulvum
2982	Taraxacum officinale agg.	Vas_5454	Taraxacum sect. Ruderalia
1771	Taxiphyllum wissgrillii	Bry_356	Taxiphyllum wissgrillii
1319	Taxus baccata (c)	Vas_2039	Taxus baccata
2636	Taxus baccata (g)	Vas_2039	Taxus baccata
2635	Taxus baccata (s)	Vas_2039	Taxus baccata
1993	Tetraphis pellucida	Bry_589	Tetraphis pellucida
3246	Teucrium scordium	Vas_2045	Teucrium scordium
1321	Teucrium scorodonia	Vas_2046	Teucrium scorodonia
1322	Thalictrum alpinum	Vas_2047	Thalictrum alpinum
1996	Thamnobryum alopecurum	Bry_592	Thamnobryum alopecurum
3044	Thamnolia vermicularis	Fun_9111	Thamnolia vermicularis
1327	Thelypteris limbosperma	Vas_2051	Oreopteris limbosperma
1329	Thelypteris phegopteris	Vas_2053	Phegopteris connectilis
3247	Thesium humifusum	Vas_2055	Thesium humifusum
1998	Thuidium abietinum	Bry_1353	Abietinella abietina
3350	Thuidium sp.	Bry_1252	Thuidium
2003	Thuidium tamariscinum	Bry_599	Thuidium tamariscinum
4156	Thuja plicata	Vas_2403	Thuja plicata
1333	Thymus praecox arcticus	Vas_2060	Thymus polytrichus
3248	Thymus pulegioides	Vas_2061	Thymus pulegioides
2985	Tilia platyphyllos (c)	Vas_2064	Tilia platyphyllos
1335	Tilia x vulgaris (c)	Vas_2065	Tilia cordata x platyphyllos (T. x europaea)
2638	Tilia x vulgaris (g)	Vas_2065	Tilia cordata x platyphyllos (T. x europaea)
1337	Torilis japonica	Vas_2069	Torilis japonica
2012	Tortella tortuosa	Bry_607	Tortella tortuosa
2014	Tortula cuneifolia	Bry_609	Tortula cuneifolia
1339	Tragopogon pratensis	Vas_2074	Tragopogon pratensis
3097	Trapeliopsis granulosa	Fun_9170	Trapeliopsis granulosa
2309	Trichocolea tomentella	Bry_956	Trichocolea tomentella
1340	Trientalis europaea	Vas_2076	Trientalis europaea
1342	Trifolium campestre	Vas_2080	Trifolium campestre
1343	Trifolium dubium	Vas_2081	Trifolium dubium
1346	Trifolium medium	Vas_2087	Trifolium medium
1349	Trifolium pratense	Vas_2091	Trifolium pratense
1350	Trifolium repens	Vas_2092	Trifolium repens
2709	Trifolium seedling/sp	Vas_5298	Trifolium
1353	Triglochin maritimum	Vas_2101	Triglochin maritimum
1354	Triglochin palustre	Vas_2102	Triglochin palustre
1356	Trisetum flavescens	Vas_2105	Trisetum flavescens
2989	Triticum aestivum	Vas_4367	Triticum aestivum
2313	Tritomaria quinquedentata	Bry_960	Tritomaria quinquedentata
1357	Trollius europaeus	Vas_2106	Trollius europaeus
2990	Tsuga heterophylla	Vas_2404	Tsuga heterophylla
1362	Typha latifolia	Vas_2111	Typha latifolia
2639	Ulex europaeus (g)	Vas_2112	Ulex europaeus
1363	Ulex europaeus (s)	Vas_2112	Ulex europaeus
1364	Ulex gallii	Vas_2113	Ulex gallii
1365	Ulmus glabra (c)	Vas_2119	Ulmus glabra
2641	Ulmus glabra (g)	Vas_2119	Ulmus glabra
2640	Ulmus glabra (s)	Vas_2119	Ulmus glabra
1366	Ulmus procera	Vas_2122	Ulmus procera
2993	Ulmus procera (g)	Vas_2122	Ulmus procera
2992	Ulmus procera (s)	Vas_2122	Ulmus procera
6029	Unidentified broadleaf seedling	Vas_21905	Dicotyledons
6018	Unidentified conifer seedling	Vas_21210	Pinopsida
6028	Unidentified dicot seedling	Vas_21905	Dicotyledons
6021	Unidentified fern gametophyte	Vas_21882	Pteropsida
6019	Unidentified grass seedling	Vas_21259	Poaceae
6017	Unidentified seedling	Vas_20993	Magnoliopsida
1368	Urtica dioica	Vas_2126	Urtica dioica
1369	Urtica urens	Vas_2128	Urtica urens
1373	Utricularia vulgaris	Vas_2132	Utricularia vulgaris s.l.
1375	Vaccinium myrtillus	Vas_2136	Vaccinium myrtillus
1376	Vaccinium oxycoccos	Vas_1419	Vaccinium oxycoccos
1377	Vaccinium uliginosum	Vas_2137	Vaccinium uliginosum
1378	Vaccinium vitis-idaea	Vas_2138	Vaccinium vitis-idaea
1380	Valeriana dioica	Vas_2139	Valeriana dioica
1381	Valeriana officinalis	Vas_2140	Valeriana officinalis
1385	Valerianella locusta	Vas_2145	Valerianella locusta
1387	Verbascum thapsus	Vas_2157	Verbascum thapsus
1390	Veronica agrestis	Vas_2161	Veronica agrestis
1393	Veronica arvensis	Vas_2165	Veronica arvensis
1394	Veronica beccabunga	Vas_2166	Veronica beccabunga
1395	Veronica catenata	Vas_2167	Veronica catenata
1396	Veronica chamaedrys	Vas_2168	Veronica chamaedrys
1397	Veronica filiformis	Vas_2169	Veronica filiformis
1398	Veronica fruticans	Vas_2170	Veronica fruticans
1399	Veronica hederifolia	Vas_2171	Veronica hederifolia
1400	Veronica montana	Vas_2172	Veronica montana
1401	Veronica officinalis	Vas_2173	Veronica officinalis
1403	Veronica persica	Vas_2175	Veronica persica
1405	Veronica scutellata	Vas_2179	Veronica scutellata
2996	Veronica seedling/sp	Vas_4563	Veronica
1407	Veronica serpyllifolia humifusa	Vas_2180.1	Veronica serpyllifolia subsp. humifusa
1406	Veronica serpyllifolia serpyllifolia	Vas_2180.2	Veronica serpyllifolia subsp. serpyllifolia
4304	Viburnum lantana (g)	Vas_2184	Viburnum lantana
2997	Viburnum lantana (s)	Vas_2184	Viburnum lantana
1409	Viburnum opulus (s)	Vas_2185	Viburnum opulus
1411	Vicia cracca	Vas_2189	Vicia cracca
1412	Vicia hirsuta	Vas_2191	Vicia hirsuta
1414	Vicia lutea	Vas_2195	Vicia lutea
2707	Vicia sativa	Vas_2516	Vicia sativa
1410	Vicia sativa nigra	Vas_2186	Vicia sativa subsp. nigra
2747	Vicia seedling/sp	Vas_4564	Vicia
1416	Vicia sepium	Vas_2198	Vicia sepium
1418	Vicia tetrasperma	Vas_2202	Vicia tetrasperma
1422	Viola canina	Vas_2207	Viola canina
1423	Viola hirta	Vas_2210	Viola hirta
1425	Viola lutea	Vas_2212	Viola lutea
1426	Viola odorata	Vas_2214	Viola odorata
1427	Viola palustris	Vas_2215	Viola palustris
1429	Viola riviniana	Vas_2218	Viola riviniana
3348	Viola riviniana x rupestris	Vas_2682	Viola riviniana x rupestris (V. x burnatii)
4376	Viola riviniana/reichenbachiana	Vas_9661	Viola reichenbachiana or Viola riviniana
1430	Viola rupestris	Vas_2219	Viola rupestris
2999	Viola seedling/sp	Vas_4565	Viola
1436	Wahlenbergia hederacea	Vas_2230	Wahlenbergia hederacea
2044	Weissia microstoma	Bry_642	Weissia brachycarpa
3065	Weissia sp	Bry_1260	Weissia
