"speciesKey","count","common_name","sci_name"
"8344892",180,"NA","Vaccinium microcarpum"
"2701571",179,"sharp-flowered rush","Juncus acutiflorus"
"8657424",178,"black alpine sedge","Carex atrata"
"5403296",177,"Marsh Hawk's-beard","Crepis paludosa"
"5404542",177,"Alpine Saw-wort","Saussurea alpina"
"7322764",177,"New Zealand Willowherb","Epilobium brunnescens"
"2606557",176,"Pale-Footed Horsehair Lichen","Bryoria fuscescens"
"8168319",175,"Fly Agaric","Amanita muscaria"
"2610322",174,"NA","Sclerophora peronella"
"2717493",174,"Few-Flower Spike-Rush","Eleocharis quinqueflora"
"2724584",174,"twotipped sedge","Carex lachenalii"
"1912325",173,"Small Pearl-bordered Fritillary","Boloria selene"
"2679707",173,"Square Goose Neck Moss","Rhytidiadelphus squarrosus"
"4280844",173,"Cow-horn Bog-moss","Sphagnum auriculatum"
"2679436",172,"Tamarisk Thuidium Moss","Thuidium tamariscinum"
"2681972",172,"Cypress-Leaved Plait-Moss","Hypnum cupressiforme"
"1357540",171,"Small Scabious Mining Bee","Andrena marginata"
"2522245",171,"Blue Tooth","Hydnellum caeruleum"
"5384606",171,"Bog Chickweed","Stellaria alsine"
"2865280",170,"marsh arrowgrass","Triglochin palustris"
"5228676",169,"Common Swift","Apus apus"
"9702100",167,"viviparous lizard","Zootoca vivipara"
"2538524",166,"Blackening Waxcap","Hygrocybe conica"
"2717002",166,"Common Spike-Rush","Eleocharis palustris"
"5366215",166,"alpine cinquefoil","Potentilla crantzii"
"7918641",166,"Tea-Leaf Willow","Salix phylicifolia"
"2728531",164,"Slender Sedge","Carex lasiocarpa"
"3093702",162,"Cat'S Ear","Hypochaeris radicata"
"4553358",162,"Saddleback Harvestman","Mitopus morio"
"8073311",162,"Bladder Stalks","Pectenia plumbea"
"6435002",161,"least water lily","Nuphar pumila"
"2710592",159,"Tufted Bulrush","Trichophorum cespitosum"
"2725388",159,"long-stalked yellow-sedge","Carex lepidocarpa"
"2704395",158,"Crested Dog'S-Tail","Cynosurus cristatus"
"5218823",158,"mink","Mustela vison"
"2650165",157,"Common Moonwort","Botrychium lunaria"
"5286350",157,"white earwort","Diplophyllum albicans"
"8952395",157,"Alpine Cat'S-Tail","Phleum alpinum"
"2538445",155,"Scarlet Waxcap","Hygrocybe coccinea"
"2607648",155,"Reindeer Lichen","Cladonia arbuscula"
"2810284",155,"Frog-Orchis","Dactylorhiza viridis"
"2606023",154,"Nit Beard Lichen","Usnea subfloridana"
"2609261",154,"NA","Calicium viride"
"8135515",154,"Dusky Fork-Moss","Dicranum fuscescens"
"2668996",153,"Papillose Sphagnum","Sphagnum papillosum"
"2609422",152,"NA","Physconia distorta"
"2689218",152,"water earwort","Scapania undulata"
"2913556",152,"fen bedstraw","Galium uliginosum"
"2669224",151,"rigid peat moss","Sphagnum teres"
"2668970",150,"Russow'S Sphagnum","Sphagnum russowii"
"5384616",150,"Common Stitchwort","Stellaria graminea"
"3171734",149,"marsh lousewort","Pedicularis palustris"
"2520773",148,"Aspen Bracket","Phellinus tremulae"
"2703250",147,"Common heathgrass","Danthonia decumbens"
"1314960",146,"NA","Formica lemani"
"3034830",146,"Cow-Parsnip","Heracleum sphondylium"
"1318848",145,"NA","Myrmica ruginodis"
